label,is_not_disease,is_pathogen,is_promed_label,parent_label,not_human_disease,is_category,wiki_link,synonym,Non-HM disease label,comments
Gnathostomiasis,,,,,,,http://en.wikipedia.org/wiki/Gnathostomiasis,,,
Gonorrhea,,,,,,,http://en.wikipedia.org/wiki/Gonorrhea,,,
Green Mottle Mosaic Virus,,,TRUE,,,,,,,
Guillain Barre,,,,,,,http://en.wikipedia.org/wiki/Guillain-Barré_syndrome,Guillain-Barre syndrome (GBS),,
Guinea Worm,,TRUE,,,,,http://en.wikipedia.org/wiki/Dracunculiasis,Dracunculiasis,,
H. influenzae,,TRUE,,,,,http://en.wikipedia.org/wiki/Haemophilus_influenzae,Haemophilus influenzae,,
H. pylori,,TRUE,,,,,http://en.wikipedia.org/wiki/Helicobacter_pylori,Helicobacter pylori,,
"Hand, Foot and Mouth Disease",,,,,,TRUE,"http://en.wikipedia.org/wiki/Hand,_foot_and_mouth_disease",,,
Hantavirus,,TRUE,,,,,Hantavirushttp://en.wikipedia.org/wiki/Hantavirus,,,
"Helminths, miscellaneous",,TRUE,,,,TRUE,http://en.wikipedia.org/wiki/Helminths,,,Heminths
Hemorrhagic Fever,,,,Fever,,TRUE,http://en.wikipedia.org/wiki/Viral_hemorrhagic_fever,,,
Hepatitis,,,,,,,http://en.wikipedia.org/wiki/Hepatitis,,,
Hepatitis A,,TRUE,,Hepatitis,,,http://en.wikipedia.org/wiki/Hepatitis_A,,,
Hepatitis B,,TRUE,,Hepatitis,,,http://en.wikipedia.org/wiki/Hepatitis_B,,,
Hepatitis C,,TRUE,,Hepatitis,,,http://en.wikipedia.org/wiki/Hepatitis_C,,,
Hepatitis D,,TRUE,,Hepatitis,,,http://en.wikipedia.org/wiki/Hepatitis_D,,,
Hepatitis E,,TRUE,,Hepatitis,,,http://en.wikipedia.org/wiki/Hepatitis_E,,,
Herpes,,,,,,,http://en.wikipedia.org/wiki/Herpes_simplex,Herpes simplex,,
HFM-CoxsackieA,,TRUE,,"Hand, Foot and Mouth Disease",,,"http://en.wikipedia.org/wiki/Hand,_foot_and_mouth_disease",,,"sub heading of Hand, foot and moth disease"
HFM-Enterovirus71,,TRUE,,"Hand, Foot and Mouth Disease",,,"http://en.wikipedia.org/wiki/Hand,_foot_and_mouth_disease",,,"Is the parent HFM or enterovirus?
sub heading of Hand, foot and moth disease"
Histoplasmosis,,,,,,,http://en.wikipedia.org/wiki/Histoplasmosis,"Cve disease, Darling's disease, Ohio valley disease, Reticuloendotheliosis, Spelunker's lung, Caver's disease",,
HIV/AIDS,,TRUE,,,,,http://en.wikipedia.org/wiki/HIV/AIDS,,,
Hookworm,,TRUE,,,,,http://en.wikipedia.org/wiki/Hookworm,,,
Hospital-Related Infection,TRUE,,,,,,http://en.wikipedia.org/wiki/Hospital-acquired_infection,,,Hospital-acquired infection
HPV,,TRUE,,,,,http://en.wikipedia.org/wiki/Human_papillomavirus,Human papillomavirus,,
Human Bocavirus,,TRUE,,,,,http://en.wikipedia.org/wiki/Human_bocavirus,,,
Human T-cell Leukemia virus ,,TRUE,,,,,http://en.wikipedia.org/wiki/Human_T-lymphotropic_virus#HTLV-I,,TRUE,
Human T-cell Leukemia virus type 2,,TRUE,,,,,http://en.wikipedia.org/wiki/Human_T-lymphotropic_virus#HTLV-I,,TRUE,
Hymenolepiasis,,,,,,,http://en.wikipedia.org/wiki/Hymenolepiasis,,,
